                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     29,               0.090224,               0.096218,               0.031489,                      0,              0.0033333,                      1,              0.0063782,              0.0012756,              0.0033333,                      1,              0.0063782,             0.00063782,                0.11864,                0.19324,               0.026554,                      0,               0.072235,              0.0012348,              0.0012348
                     30,                0.08361,                  0.135,               0.031258,                      0,              0.0033333,                      1,              0.0082231,              0.0057562,              0.0033333,                      1,              0.0082231,              0.0024669,                0.11445,                0.13828,               0.027332,                      0,               0.071218,               0.001218,               0.001218
                     31,                0.10128,               0.072723,               0.031069,                      0,              0.0033333,                      1,              0.0071583,               0.004295,              0.0033333,                      1,              0.0071583,              0.0014317,                0.11017,                0.11423,               0.028091,                      0,               0.070197,              0.0011972,              0.0011972
                     32,                0.11588,                0.11308,               0.029415,                      0,              0.0033333,                      1,              0.0097549,              0.0048775,              0.0033333,                      1,              0.0097549,             0.00097549,                0.10944,               0.097097,               0.028557,                      0,               0.069172,              0.0011725,              0.0011725
                     33,                0.10729,               0.065168,               0.029284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.11063,                 0.1053,               0.027451,                      0,               0.068144,              0.0011438,              0.0011438
                     34,               0.093914,               0.031888,               0.031024,                      0,              0.0033333,                      1,               0.012438,              0.0012438,              0.0033333,                      1,               0.012438,              0.0012438,                0.10693,               0.092972,               0.028034,                      0,               0.067111,              0.0011111,              0.0011111
                     35,               0.077436,               0.037476,               0.038007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.1058,               0.092417,               0.028225,                      0,               0.066075,              0.0010745,              0.0010745
                     36,               0.061184,               0.052214,               0.028628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10975,                0.11523,                0.02776,                      0,               0.065034,              0.0010339,              0.0010339
                     37,               0.089107,               0.092812,               0.031139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10918,                0.13901,               0.027649,                      0,               0.063989,             0.00098938,             0.00098938
                     38,               0.089934,               0.049986,               0.031159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10442,                 0.1461,                0.02776,                      0,               0.062941,             0.00094088,             0.00094088
                     39,                 0.1039,               0.049571,               0.042393,                      0,              0.0033333,                      1,              0.0040612,              0.0016245,              0.0033333,                      1,              0.0040612,             0.00040612,                0.10473,                0.16408,               0.027542,                      0,               0.061888,             0.00088842,             0.00088842
                     40,               0.076692,                0.05131,               0.029351,                      0,              0.0033333,                      1,              0.0049257,              0.0019703,              0.0033333,                      1,              0.0049257,             0.00098515,                0.10927,                0.18047,               0.027069,                      0,               0.060832,               0.000832,               0.000832
                     41,               0.088376,               0.079101,               0.030018,                      0,              0.0033333,                      1,              0.0039641,              0.0019821,              0.0033333,                      1,              0.0039641,             0.00079283,                0.10914,                0.18015,               0.027084,                      0,               0.059772,             0.00077162,             0.00077162
                     42,               0.089911,               0.093169,                0.02947,                      0,              0.0033333,                      1,              0.0049502,              0.0029701,              0.0033333,                      1,              0.0049502,              0.0019801,                0.10647,                0.18533,               0.027058,                      0,               0.058707,             0.00070728,             0.00070728
                     43,               0.078302,               0.046912,               0.038323,                      0,              0.0033333,                      1,              0.0038716,               0.002323,              0.0033333,                      1,              0.0038716,              0.0015486,                0.10648,                0.19899,               0.027023,                      0,               0.057639,             0.00063898,             0.00063898
                     44,               0.077476,               0.089856,                0.02951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10616,                0.20421,               0.027103,                      0,               0.056567,             0.00056672,             0.00056672
                     45,               0.088671,               0.056583,               0.036764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10499,                0.19497,               0.027199,                      0,                0.05549,              0.0004905,              0.0004905
                     46,                0.09372,               0.084277,               0.029495,                      0,              0.0033333,                      1,              0.0033729,             0.00033729,              0.0033333,                      1,              0.0033729,             0.00033729,                0.10298,                0.18844,               0.027477,                      0,                0.05441,             0.00041032,             0.00041032
                     47,               0.099636,               0.047793,               0.033797,                      0,              0.0033333,                      1,              0.0050253,             0.00050253,              0.0033333,                      1,              0.0050253,             0.00050253,                0.10094,                0.18032,               0.027546,                      0,               0.053326,             0.00032618,             0.00032618
                     48,               0.077388,               0.048908,               0.036384,                      0,              0.0033333,                      1,              0.0049502,             0.00049502,              0.0033333,                      1,              0.0049502,             0.00049502,                0.10241,                0.18242,               0.027317,                      0,               0.052238,             0.00023808,             0.00023808
                     49,                0.12215,               0.062455,               0.038109,                      0,              0.0033333,                      1,              0.0054372,             0.00054372,              0.0033333,                      1,              0.0054372,             0.00054372,                 0.1006,                0.17554,                0.02742,                      0,               0.051146,             0.00014602,             0.00014602
                     50,              0.0033333,                      1,              0.0082917,              0.0058042,              0.0033333,                      1,              0.0082917,              0.0024875,                 0.1145,                0.13851,               0.027325,                      0
